Turbine,Method,RMSE_2017,Runtime_train,Runtime_pred17
38,NN,3.7130085195479086,108.99,0.11
39,NN,2.675394250213132,108.99,0.06
40,NN,3.4733931249889083,108.99,0.06
41,NN,4.8608823934366345,108.99,0.07
42,NN,2.5793041884858643,108.99,0.06
43,NN,2.632309681677653,108.99,0.07
44,NN,5.419587018090518,108.99,0.06
