Method,Year,version,RMSE,NLPD,Runtime
IEC Binning,2017,x,4.2797458206056085,NA,1.085
TwinGP,2017,x,3.739382890920813,3.572125908772184,127.36321428571429
TwinGP,2017,xs,4.743514886165087,3.2289551521085396,107.1105
