Turbine,Method,RMSE_2017,Runtime_train,Runtime_pred17
38,BNN(x),3.758907293460763,3078.83,0.22
39,BNN(x),2.7116677128047915,3078.83,0.22
40,BNN(x),3.4905806904902987,3078.83,0.24
41,BNN(x),4.860580442012699,3078.83,0.22
42,BNN(x),2.6163927380317435,3078.83,0.25
43,BNN(x),2.6275637686238587,3078.83,0.23
44,BNN(x),5.393937041574705,3078.83,0.22
