Method,Turbine,Year,RMSE,Runtime
LGBM(x),38,2017,3.7201888655108393,0.0339
LGBM(x),39,2017,2.6642012613937767,0.0235
LGBM(x),40,2017,3.4445456527362643,0.0245
LGBM(x),41,2017,4.891155332785141,0.024
LGBM(x),42,2017,2.605060650039839,0.026
LGBM(x),43,2017,2.657351707893026,0.025
LGBM(x),44,2017,5.441297857806574,0.0235
